component_id,grant_id,acronym,programme,grant_type,panel,call_year,start_date,start_year,end_date,starting_host,host_country,project_eu_contribution,french_component_amount,amount_method,is_synergy,resolution_status,evidence_grade,source_kind,match_mode,disposition,lab_name,rnsr_id,city,city_raw,code_postal,region,region_source,universities_at_start,universities_at_start_raw,n_universities_at_start,rto_tutelles,rto_tutelles_raw,other_etab_tutelles,other_etab_tutelles_raw,participants_nontutelle,participants_nontutelle_raw,tutelles_raw_v2,tutelle_source,tutelle_flags,flags,park_reason,evidence_ref,integration_note,dataset_version,source_snapshot_date,run_id,phase_d_route,phase_d_terminal_outcome
647696:0,647696,PREG-LAB,Horizon 2020,Consolidator Grants,"LS6 - Immunity, Infection & Immunotherapy",2014,2016-01-01,2016,2021-12-31,National Institute of Health and Medical Research (INSERM),FR,1999375.0,1999375.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Institut Necker Enfants-Malades,201420755D,PARIS,PARIS,75015,Île-de-France,v2_pipeline_geocode,Université Paris Descartes,Université Paris Descartes,1,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale,Centre national de la recherche scientifique;Institut national de la santé et de la recherche médicale,,,,,,historical_rnsr_2016,,,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:647696,,1.5.0,2026-07-24,20260827T142619Z_integration,,
670747:0,670747,FireBar-Concept,Horizon 2020,Advanced Grants,PE8 - Products & Processes Engineering,2014,2016-01-01,2016,2020-12-31,University of Lille,FR,2429987.5,2429987.5,ordinary_full_project,False,resolved,A,hal_grant,unit_id_exact,linked,Unité Matériaux et Transformations - UMR 8207,201019109G,Villeneuve-d'Ascq,Université Lille 1 Bâtiment C6 59655 Villeneuve d'Ascq,59650,Hauts-de-France,rnsr_postal,Université Lille 1 - Sciences technologies,Université Lille 1 - Sciences technologies,1,Centre national de la recherche scientifique;Institut national de la recherche agronomique,Centre national de la recherche scientifique;Institut national de la recherche agronomique,École nationale supérieure de chimie de Lille,École nationale supérieure de chimie de Lille,,,,historical_rnsr_2016,,v2_relinked|city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:670747,,1.5.0,2026-07-24,20260827T142619Z_integration,,
670787:0,670787,PLANETDIVE,Horizon 2020,Advanced Grants,PE9 - Universe Sciences,2014,2016-01-01,2016,2021-12-31,National Centre for Scientific Research (CNRS),FR,3498938.0,3498938.0,ordinary_full_project,False,resolved,B,hal_author,v2_inherited,linked,"Centre d'Études Linguistiques - Corpus, Discours et Sociétés",199313550N,Lyon,LYON CEDEX 08,69372,Auvergne-Rhône-Alpes,v2_pipeline_geocode,Université Jean Moulin Lyon 3,Université Jean Moulin - Lyon 3,1,,,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
670628:0,670628,SICLE,Horizon 2020,Advanced Grants,SH5 - Cultures & Cultural Production,2014,2016-02-01,2016,2021-09-30,French College,FR,1959283.0,1959283.0,ordinary_full_project,False,resolved,B,openalex_author,region_only_no_rnsr_link,linked_no_rnsr_id,Membre de l’Institut (Académie des inscriptions et belles-lettres),,Paris,Paris,,Île-de-France,openalex_geo,,,0,,,,,,,,v2_relink_unresolved,historical_fallback_to_active,v2_relink_unresolved|phase_e_located,,https://api.openalex.org/works?filter=authorships.author.id:<francoisderoche>,,1.5.0,2026-07-24,20260827T142619Z_integration,,
677823:0,677823,CRISPAIR,Horizon 2020,Starting Grants,"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2015,2016-03-01,2016,2022-08-31,Pasteur Institute,FR,1499763.0,1499763.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Biologie de Synthèse - Synthetic biology,202023558Z,Paris,Paris Cedex 15,75724,Île-de-France,v2_pipeline_geocode,,,0,,,Institut Pasteur,Institut Pasteur,,,,active_rnsr+crosswalk_fallback_no_historical,historical_fallback_to_active,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:677823,,1.5.0,2026-07-24,20260827T142619Z_integration,,
678140:0,678140,FluctEvol,Horizon 2020,Starting Grants,"LS8 - Environmental Biology, Ecology & Evolution",2015,2016-03-01,2016,2021-08-31,National Centre for Scientific Research (CNRS),FR,1499665.0,1499665.0,ordinary_full_project,False,resolved,B,openalex_author,v2_inherited,linked,Centre d’Ecologie Fonctionnelle et Evolutive,200311847U,Montpellier,MONTPELLIER CEDEX 5,34293,Occitanie,v2_pipeline_geocode,Université de Montpellier (EPE);Université Montpellier 3 - Paul-Valéry,Université de Montpellier;Université Montpellier 3 - Paul-Valéry,2,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Ecole Pratique des Hautes Etudes Paris,École pratique des hautes études,Centre international d'études supérieures en sciences agronomiques;Institut national de la recherche agronomique;Institut de recherche pour le developpement,Centre international d'études supérieures en sciences agronomiques;Institut national de la recherche agronomique;Institut de recherche pour le développement,,historical_rnsr_2016,,city_cedex_normalized,,https://api.openalex.org/works?filter=authorships.author.id:<luismiguelchevin>,,1.5.0,2026-07-24,20260827T142619Z_integration,,
679980:0,679980,RCSB,Horizon 2020,Starting Grants,"LS3 - Cellular, Developmental & Regenerative Biology",2015,2016-04-01,2016,2021-01-31,Pasteur Institute,FR,1500000.0,1500000.0,ordinary_full_project,False,resolved,A,hal_grant,region_only_no_rnsr_link,linked_no_rnsr_id,Morphogénèse et Croissance microbiennes / Microbial Morphogenesis and Growth,,Paris,"Département Microbiologie - 25-28 rue du Docteur Roux, 75724 Paris Cedex 15",75724,Île-de-France,hal_address,,,0,,,,,,,,v2_unbucketed,,no_rnsr_id|tutelles_unbucketed|phase_e_located,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:679980,,1.5.0,2026-07-24,20260827T142619Z_integration,,
692924:0,692924,BIOACTIVECOATINGS,Horizon 2020,Proof of Concept,PE5 - Synthetic Chemistry & Materials,2015,2016-04-01,2016,2017-09-30,Grenoble Institute of Technology,FR,149998.0,149998.0,ordinary_full_project,False,resolved,A,hal_author,v2_inherited,linked,Laboratoire des matériaux et du génie physique,199512057G,Grenoble,GRENOBLE CEDEX 1,38016,Auvergne-Rhône-Alpes,v2_pipeline_geocode,,,0,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Institut polytechnique de Grenoble,Grenoble INP,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
679408:0,679408,DYNAMIQS,Horizon 2020,Starting Grants,PE2 - Fundamental Constituents of Matter,2015,2016-05-01,2016,2022-04-30,National Centre for Scientific Research (CNRS),FR,1500000.0,1500000.0,ordinary_full_project,False,resolved,B,openalex_author,phase_e_web_already_linked,linked,Laboratoire Charles Fabry / Optique atomique,201923313M,Palaiseau,Palaiseau,91127,Île-de-France,web_postal,,,0,,,Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,,,,active_rnsr+crosswalk_fallback_no_historical,historical_fallback_to_active,phase_e_web,,https://api.openalex.org/works?filter=authorships.author.id:<marccheneau>,,1.5.0,2026-07-24,20260827T142619Z_integration,,
713709:0,713709,SAMSON,Horizon 2020,Proof of Concept,PE6 - Computer Science & Informatics,2015,2016-06-01,2016,2017-11-30,National Institute for Research in Computer Science and Automatic Control (INRIA),FR,149750.0,149750.0,ordinary_full_project,False,resolved,B,hal_author,region_only_no_rnsr_link,linked_no_rnsr_id,Laboratoire de Mécanique et de Rhéologie,,Tours,EPU Dept mécanique et systèmes BP 407 F - 37204 Tours Cedex 3 France,37204,Centre-Val de Loire,hal_address,,,0,,,,,,,,v2_unbucketed,,no_rnsr_id|tutelles_unbucketed|phase_e_located,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
