raw_name,canonical_name,uai,institution_type,needs_review,note,source_columns
AVIGNON UNIVERSITE,AVIGNON UNIVERSITE,0840685N,UNIV,False,,universities_at_start
Acides nucléiques: Régulations naturelles et artificielles,Acides nucléiques: Régulations naturelles et artificielles,,OTHER,False,,tutelles_raw_v2
AgroParisTech,AgroParisTech,,OTHER,False,,tutelles_raw_v2
AgroParisTech (Inst Sc et Ind du Vivant et Environnement),AgroParisTech (Inst Sc et Ind du Vivant et Environnement),0753465J,AUT_ETAB,False,,other_etab_tutelles
Institut des sciences et industries du vivant et de l'environnement,AgroParisTech (Inst Sc et Ind du Vivant et Environnement),0753465J,AUT_ETAB,False,"uai_merged: RNSR UAI 0753465J shared with 'AgroParisTech (Inst Sc et Ind du Vivant et Environnement)' -- same legal entity, active-vs-historical/formatting spelling variant only; verified not a crosswalk-protected dated identity split (S9a fix cycle finding 3)",other_etab_tutelles
Air Liquide (France),Air Liquide (France),,OTHER,False,,tutelles_raw_v2
"Analyse moléculaire, modélisation et imagerie de la maladie cancéreuse","Analyse moléculaire, modélisation et imagerie de la maladie cancéreuse",,OTHER,False,,tutelles_raw_v2
Arts et Métiers,Arts et Métiers,,OTHER,False,,tutelles_raw_v2
Assistance Publique - Hôpitaux de Marseille,Assistance Publique - Hôpitaux de Marseille,,HOSP,False,,participants_nontutelle
Assistance Publique Hôpitaux de Paris,Assistance Publique des Hôpitaux de Paris,,HOSP,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Assistance Publique des Hôpitaux de Paris'",other_etab_tutelles;participants_nontutelle
Assistance Publique des Hôpitaux de Paris,Assistance Publique des Hôpitaux de Paris,,HOSP,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Assistance Publique des Hôpitaux de Paris'",other_etab_tutelles;participants_nontutelle
Assistance Publique – Hôpitaux de Paris,Assistance Publique des Hôpitaux de Paris,,HOSP,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Assistance Publique des Hôpitaux de Paris'",tutelles_raw_v2
BRGM,BRGM,0755363X,EPIC,False,,participants_nontutelle;rto_tutelles
Biologie Moléculaire Structurale et Processus Infectieux,Biologie Moléculaire Structurale et Processus Infectieux,,OTHER,False,,tutelles_raw_v2
Biologie cellulaire et Cancer,Biologie cellulaire et Cancer,,OTHER,False,,tutelles_raw_v2
Biologie du Développement et Cellules Souches,Biologie du Développement et Cellules Souches,,OTHER,False,,tutelles_raw_v2
Bordeaux Population Health,Bordeaux Population Health,,OTHER,False,,tutelles_raw_v2
CEA Grenoble,CEA Grenoble,,OTHER,False,,tutelles_raw_v2
CEA Paris-Saclay,CEA Paris-Saclay,,OTHER,False,,tutelles_raw_v2
CHRU  RENNES,CHRU  RENNES,,HOSP,False,,participants_nontutelle
CHU Hôpitaux de Bordeaux,CHU Hôpitaux de Bordeaux,,HOSP,False,,other_etab_tutelles;participants_nontutelle
CY Cergy Paris Université,CY Cergy Paris Université,0952259P,UNIV,False,,participants_nontutelle;tutelles_raw_v2;universities_at_start
Center for Infection and Immunity of Lille,Center for Infection and Immunity of Lille,,OTHER,False,,tutelles_raw_v2
Centrale Lille Institut,Centrale Lille Institut,0597139P,AUT_ETAB,False,,other_etab_tutelles
Centrale Marseille,Centrale Marseille,,OTHER,False,,tutelles_raw_v2
CentraleSupélec,CentraleSupélec,0912341A,AUT_ETAB,False,,other_etab_tutelles;participants_nontutelle;tutelles_raw_v2
Centre Européen de Recherche en Biologie et en Médecine,Centre Européen de Recherche en Biologie et en Médecine,,AUT_ETAB,False,,participants_nontutelle
Centre Hospitalier Régional de Marseille,Centre Hospitalier Régional de Marseille,,OTHER,False,,participants_nontutelle
Centre Hospitalier Universitaire Grenoble Alpes,Centre Hospitalier Universitaire Grenoble Alpes,,HOSP,False,,participants_nontutelle
Centre Hospitalier Universitaire de Grenoble,Centre Hospitalier Universitaire de Grenoble,,OTHER,False,,tutelles_raw_v2
Centre Hospitalier Universitaire de Lille,Centre Hospitalier Universitaire de Lille,,HOSP,False,,other_etab_tutelles;participants_nontutelle;tutelles_raw_v2
Centre Inria de Saclay,Centre Inria de Saclay,,OTHER,False,,tutelles_raw_v2
Centre Interdisciplinaire de Recherche en Biologie,Centre Interdisciplinaire de Recherche en Biologie,,OTHER,False,,tutelles_raw_v2
Centre Interuniversitaire de Recherche et d’Ingénierie des Matériaux,Centre Interuniversitaire de Recherche et d’Ingénierie des Matériaux,,OTHER,False,,tutelles_raw_v2
Centre National d'Etude Spatiales,Centre National d'Etude Spatiales,0752743Z,EPIC,False,,participants_nontutelle;rto_tutelles
Centre national d'études spatiales,Centre National d'Etude Spatiales,0752743Z,EPIC,False,"uai_merged: RNSR UAI 0752743Z shared with 'Centre National d'Etude Spatiales' -- same legal entity, active-vs-historical/formatting spelling variant only; verified not a crosswalk-protected dated identity split (S9a fix cycle finding 3)",participants_nontutelle
Centre Pour La Recherche Economique et ses Applications,Centre Pour La Recherche Economique et ses Applications,,OTHER,False,,tutelles_raw_v2
Centre d'Analyse et de Mathématique Sociales,Centre d'Analyse et de Mathématique Sociales,,OTHER,False,,tutelles_raw_v2
Centre d'Immunologie et des Maladies Infectieuses,Centre d'Immunologie et des Maladies Infectieuses,,OTHER,False,,tutelles_raw_v2
Centre d'Écologie Fonctionnelle et Évolutive,Centre d'Écologie Fonctionnelle et Évolutive,,OTHER,False,,tutelles_raw_v2
Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement,Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement,0755516N,EPIC,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement'",participants_nontutelle;rto_tutelles
Centre de coopération internationale en recherche agronomique pour le développement,Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement,0755516N,EPIC,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement'",participants_nontutelle
Centre de Physique Théorique,Centre de Physique Théorique,,OTHER,False,,tutelles_raw_v2
Centre de RMN à Très Hauts Champs de Lyon,Centre de RMN à Très Hauts Champs de Lyon,,OTHER,False,,tutelles_raw_v2
Centre de Recherche Astrophysique de Lyon,Centre de Recherche Astrophysique de Lyon,,OTHER,False,,tutelles_raw_v2
Centre de Recherche en Mathématiques de la Décision,Centre de Recherche en Mathématiques de la Décision,,OTHER,False,,tutelles_raw_v2
Centre de Recherche en Économie et Statistique,Centre de Recherche en Économie et Statistique,,OTHER,False,,tutelles_raw_v2
Centre de Recherches sur la Cognition Animale,Centre de Recherches sur la Cognition Animale,,OTHER,False,,tutelles_raw_v2
Centre d’Immunologie de Marseille-Luminy,Centre d’Immunologie de Marseille-Luminy,,OTHER,False,,tutelles_raw_v2
CENTRE HOSPITALIER UNIVERSITAIRE DE MONTPELLIER,Centre hospitalier universitaire de Montpellier,,HOSP,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Centre hospitalier universitaire de Montpellier'",participants_nontutelle
Centre hospitalier universitaire de Montpellier,Centre hospitalier universitaire de Montpellier,,HOSP,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Centre hospitalier universitaire de Montpellier'",participants_nontutelle
Centre international d'études supérieures en sciences agronomiques,Centre international d'études supérieures en sciences agronomiques,0342222F,AUT_ETAB,False,,participants_nontutelle
Centre international des hautes études agronomiques méditerranéennes,Centre international des hautes études agronomiques méditerranéennes,0340133K,AUT_ETAB,False,,other_etab_tutelles
Centre National de la Recherche Scientifique,Centre national de la recherche scientifique,0753639Y,EPST,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Centre national de la recherche scientifique'",tutelles_raw_v2
Centre national de la recherche scientifique,Centre national de la recherche scientifique,0753639Y,EPST,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Centre national de la recherche scientifique'",participants_nontutelle;rto_tutelles
Centre régional de lutte contre le cancer - Centre Léon-Bérard,Centre régional de lutte contre le cancer - Centre Léon-Bérard,,HOSP,False,,other_etab_tutelles;participants_nontutelle
Chimie de la Matière Condensée de Paris,Chimie de la Matière Condensée de Paris,,OTHER,False,,tutelles_raw_v2
Chimie et Biologie de la Cellule,Chimie et Biologie de la Cellule,,OTHER,False,,tutelles_raw_v2
Château Gombert,Château Gombert,,OTHER,False,,tutelles_raw_v2
Collège de France,Collège de France,,AUT_ETAB,False,,other_etab_tutelles;tutelles_raw_v2
Collège de France Paris,Collège de France Paris,0753480A,AUT_ETAB,False,,other_etab_tutelles;participants_nontutelle
Commissariat a l'energie atomique et aux energies alternatives (CEA),Commissariat à l'énergie atomique et aux énergies alternatives,0912281K,EPIC,False,"manual_merge_group_g (CEA, S9c fix G): merged with 'Commissariat à l'énergie atomique et aux énergies alternatives' -- same institution, a spelling/suffix/plural variant the UAI-merge pass (5b) could not catch (no uai recorded for the minority spelling, or an extra token like Paris/(CEA)/(Inria) that also changes normalize_key)",rto_tutelles
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,Commissariat à l'énergie atomique et aux énergies alternatives,0912281K,EPIC,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Commissariat à l'énergie atomique et aux énergies alternatives'",tutelles_raw_v2
Commissariat à l'énergie atomique et aux énergies alternatives,Commissariat à l'énergie atomique et aux énergies alternatives,0912281K,EPIC,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Commissariat à l'énergie atomique et aux énergies alternatives'",participants_nontutelle;rto_tutelles
Conservatoire National des Arts et Métiers Paris,Conservatoire National des Arts et Métiers Paris,0753471R,AUT_ETAB,False,,other_etab_tutelles;participants_nontutelle
CryptoExperts (France),CryptoExperts (France),,OTHER,False,,tutelles_raw_v2
Domain Therapeutics (France),Domain Therapeutics (France),,OTHER,False,,tutelles_raw_v2
Dynamique de l'information génétique : bases fondamentales et cancer,Dynamique de l'information génétique : bases fondamentales et cancer,,OTHER,False,,tutelles_raw_v2
Dynamique du noyau,Dynamique du noyau,,OTHER,False,,tutelles_raw_v2
Délégation Paris 6,Délégation Paris 6,,OTHER,False,,tutelles_raw_v2
Délégation Paris 7,Délégation Paris 7,,OTHER,False,,tutelles_raw_v2
Département d'Informatique,Département d'Informatique,,OTHER,False,,tutelles_raw_v2
ENSAE Paris,ENSAE Paris,,OTHER,False,,tutelles_raw_v2
ESPCI Paris,ESPCI Paris,,OTHER,False,,tutelles_raw_v2
EURECOM,EURECOM,,AUT_ETAB,False,,other_etab_tutelles;tutelles_raw_v2
EUROPEAN SYNCHROTRON RADIATION FACILITY,EUROPEAN SYNCHROTRON RADIATION FACILITY,,AUT_ETAB,False,,other_etab_tutelles
Ec Nat Sup Mécanique Microtechniques Besançon,Ec Nat Sup Mécanique Microtechniques Besançon,0250082D,AUT_ETAB,False,,other_etab_tutelles
