region,grants,eur_fractional,eur_fractional_gradeA,eur_fractional_gradeB,eur_fractional_gradeC,eur_fullclaim
Île-de-France,736,1330722494.53,361691416.82,673604727.405,295426350.305,1111190473.98
Auvergne-Rhône-Alpes,191,338845228.77,113529145.51,166712990.715,58603092.545,302245905.39
Occitanie,156,274038224.64,82119448.0,127478451.005,64440325.635,227278219.4
Provence-Alpes-Côte d'Azur,135,247326471.8,82968558.26,129654691.55,34703221.99,213448777.77
Grand Est,74,124371317.75,37944764.75,45923444.0,40503109.0,115930063.75
Nouvelle-Aquitaine,71,116799960.25,33999794.75,64017774.5,18782391.0,99599011.5
Bretagne,39,77732464.65,30881676.5,29676034.4,17174753.75,68568140.4
Hauts-de-France,33,63499667.01,25526288.009999998,31225068.0,6748311.0,52184278.0
Pays de la Loire,19,32786862.45,16951600.75,13085674.95,2749586.75,29600944.75
Centre-Val de Loire,17,32422176.71,13013518.0,13523187.71,5885471.0,28918908.71
,12,22053129.75,2487834.0,10664842.5,8900453.25,12830225.5
Bourgogne-Franche-Comté,7,9085579.0,2298918.0,5286661.0,1500000.0,9085579.0
Normandie,4,8464414.0,3997996.0,2495938.0,1970480.0,8464414.0
