university,grants,eur_fractional,eur_fractional_gradeA,eur_fractional_gradeB,eur_fractional_gradeC,eur_fullclaim
Sorbonne Université,143,229685547.4,64880611.775,125783260.125,39021675.5,199893167.75
Université Aix-Marseille,81,140817521.47,55909201.76,63298546.72,21609772.990000002,125867118.19
Université Paris-Saclay,67,114668822.25,45325998.833333336,43110831.416666664,26231992.0,104433065.25
Université de Montpellier (EPE),62,93051165.52,33612313.0,39740023.27,19698829.25,88886851.77
Université Claude Bernard Lyon 1,62,92043969.75,34701186.875,37287856.0,20054926.875,100863027.0
Université Paris Cité,61,88689003.315,19854765.083333332,51518642.23166667,17315596.0,88035323.19
Université de Bordeaux,47,80488256.5,27503040.0,38777055.5,14208161.0,64887112.75
Université Toulouse III - Paul Sabatier,43,80089938.995,25087386.0,33325848.19333333,21676704.801666666,63553909.13
Universite de Paris,49,76201994.25,17658108.5,46046032.75,12497853.0,70390909.5
Université Grenoble Alpes,56,74554485.88166666,20917690.755,37378574.001666665,16258221.125,82217543.01
Université Strasbourg,40,63978061.75,21499452.75,19681672.0,22796937.0,60439848.75
Université Côte d'Azur,22,38579823.0,9692795.0,24758378.0,4128650.0,35948673.0
Université de Lille (EPE),19,31358349.009999998,14598044.01,12961103.0,3799202.0,25994997.5
Université Pierre et Marie Curie,22,31085275.5,7182666.0,15652902.5,8249707.0,37591501.0
Université de Lorraine,17,30713435.0,10103612.0,10798341.0,9811482.0,25810394.0
Université Panthéon-Sorbonne Paris 1,16,22969100.57,10359481.07,4813747.5,7795872.0,24971848.89
Université Paris-Sud,14,22943442.52,6593669.86,7770419.0,8579353.66,23989111.52
Université de Rennes 1,13,22199358.75,13850188.75,5498940.0,2850230.0,20820895.0
Université Paris Diderot,17,22175651.43,8161140.4399999995,6979958.49,7034552.5,27623060.25
Université Versailles Saint-Quentin-en-Yvelines,10,20248810.25,6707365.0,3955993.75,9585451.5,14801153.0
Université de Toulouse EPE,11,17474184.583333332,4901802.333333333,8834796.0,3737586.25,15546417.0
Université de Rennes (EPE),12,16154495.25,9260247.25,5894373.0,999875.0,20498875.75
Université de Bretagne Occidentale,7,15953905.95,1996646.0,11105612.45,2851647.5,11888165.4
Université Savoie Chambéry,16,15425297.631666666,4696090.755,9896032.876666667,833174.0,26267576.009999998
Université Jean Monnet Saint-Étienne,19,15167702.958333334,10768625.25,666859.0,3732218.708333333,28885500.25
Université de Tours,8,14495421.94,4615569.0,9879852.94,0.0,15116621.94
Université Clermont Auvergne  (EPE),11,14328649.375,8677342.875,5082603.0,568703.5,17928746.75
Université Gustave Eiffel,13,14253073.626666667,6554527.75,4365621.876666667,3332924.0,19299114.25
Université Orléans,6,12789905.0,6904434.0,0.0,5885471.0,9907837.0
Université Paris Descartes,11,12599880.02,1999375.0,4598750.0,6001755.02,15227157.52
Université Nice - Sophia-Antipolis,7,12340336.0,4140620.0,3982761.0,4216955.0,12340336.0
Université de Nantes,8,12113538.225,4371634.75,7741903.475,0.0,10895958.75
Nantes Université,9,10183943.416666666,4640716.666666667,4126192.0,1417034.75,15126316.0
Université Toulouse Capitole EPE,6,8285609.333333333,904909.3333333333,966000.0,6414700.0,6725478.0
Université Lumière Lyon 2,8,8033011.333333333,2474624.0,2363271.0,3195116.333333333,12254380.0
Université Perpignan via Domitia,4,7429521.5,2558250.0,1999672.5,2871599.0,6057922.5
Université Vincennes-Saint Denis Paris 8,6,7276715.4399999995,6611169.9399999995,665545.5,0.0,10660225.76
CY Cergy Paris Université,5,7216211.0,4243796.0,1497850.0,1474565.0,7965936.0
Université Jean Moulin Lyon 3,6,6949324.833333333,499948.0,4412043.0,2037333.8333333333,10012911.0
Université Toulouse - Jean Jaurès,7,6834779.583333333,3336971.3333333335,1917682.8333333333,1580125.4166666665,9833380.75
Université Paris Dauphine,4,6695629.75,0.0,4298041.0,2397588.75,4298041.0
Université de Poitiers,6,6521288.5,0.0,5721386.0,799902.5,7294129.0
Université Lille 2 - Droit et Santé,3,5999740.0,2500000.0,1999740.0,1500000.0,5999740.0
Université Lille 1 - Sciences technologies,2,5917567.5,2429987.5,3487580.0,0.0,5917567.5
Université Rennes 2,4,5444395.95,3342003.5,2102392.45,0.0,8401485.9
Université Paris Nord Paris 13,5,5338830.0,2923319.5,2415510.5,0.0,4981021.0
Université Angers,6,5310863.666666667,3894587.666666667,0.0,1416276.0,11004008.5
Université Pau et Pays de l'Adour,3,4907871.0,1491330.0,3416541.0,0.0,4907871.0
Université Paris-Est Marne-la-Vallée,4,4825882.0,1499865.0,2329940.0,996077.0,7481959.0
Université Paris est Créteil Val de Marne,6,4751795.75,150000.0,1356218.75,3245577.0,5291654.0
Université Picardie Jules-Verne Amiens,3,4625524.0,2499079.0,2126445.0,0.0,4625524.0
Université Bordeaux Montaigne,3,4491702.75,2991846.75,1499856.0,0.0,4491702.75
Université de Caen Normandie,2,4470480.0,2500000.0,0.0,1970480.0,4470480.0
Université Bretagne Sud,5,4432354.5,1682604.5,1749875.0,999875.0,8864709.0
