component_id,grant_id,lab_name,rnsr_id,evidence_grade,review_status
639300:0,639300,,,unresolved,manual_review
647133:0,647133,,,unresolved,manual_review
647455:0,647455,,,unresolved,manual_review
647696:0,647696,,,unresolved,manual_review
647916:0,647916,,,unresolved,manual_review
669288:0,669288,,,unresolved,manual_review
669690:0,669690,,,unresolved,manual_review
670747:0,670747,,,unresolved,manual_review
670787:0,670787,,,unresolved,manual_review
671231:0,671231,,,unresolved,manual_review
680465:0,680465,,,unresolved,manual_review
648480:0,648480,,,unresolved,manual_review
670628:0,670628,,,unresolved,manual_review
679243:0,679243,,,unresolved,manual_review
648161:0,648161,,,unresolved,manual_review
677823:0,677823,,,unresolved,manual_review
678140:0,678140,,,unresolved,manual_review
679116:0,679116,,,unresolved,manual_review
679254:0,679254,,,unresolved,manual_review
681484:0,681484,,,unresolved,manual_review
669217:0,669217,,,unresolved,manual_review
678157:0,678157,,,unresolved,manual_review
679980:0,679980,,,unresolved,manual_review
683032:0,683032,,,unresolved,manual_review
692765:0,692765,,,unresolved,manual_review
692924:0,692924,,,unresolved,manual_review
713619:0,713619,,,unresolved,manual_review
678177:0,678177,,,unresolved,manual_review
679408:0,679408,,,unresolved,manual_review
679531:0,679531,,,unresolved,manual_review
677532:0,677532,,,unresolved,manual_review
678624:0,678624,,,unresolved,manual_review
679734:0,679734,,,unresolved,manual_review
681393:0,681393,,,unresolved,manual_review
682819:0,682819,,,unresolved,manual_review
694159:0,694159,,,unresolved,manual_review
713709:0,713709,,,unresolved,manual_review
677470:0,677470,,,unresolved,manual_review
677878:0,677878,,,unresolved,manual_review
679937:0,679937,,,unresolved,manual_review
681835:0,681835,,,unresolved,manual_review
682032:0,682032,,,unresolved,manual_review
682895:0,682895,,,unresolved,manual_review
694694:0,694694,,,unresolved,manual_review
677251:0,677251,,,unresolved,manual_review
678302:0,678302,,,unresolved,manual_review
678777:0,678777,,,unresolved,manual_review
694651:0,694651,,,unresolved,manual_review
